simSteps Time(ms) Input(Iapp) Output(V_axon)
426 0.021 0.000 -57.28544174
427 0.021 0.000 -57.28557974
428 0.021 0.000 -57.28571534
429 0.021 0.000 -57.28584857
430 0.021 0.000 -57.28597945
431 0.022 0.000 -57.28610802
432 0.022 0.000 -57.28623429
433 0.022 0.000 -57.28635829
434 0.022 0.000 -57.28648006
435 0.022 0.000 -57.28659960
436 0.022 0.000 -57.28671696
437 0.022 0.000 -57.28683216
438 0.022 0.000 -57.28694521
439 0.022 0.000 -57.28705616
440 0.022 0.000 -57.28716501
441 0.022 0.000 -57.28727180
442 0.022 0.000 -57.28737655
443 0.022 0.000 -57.28747929
444 0.022 0.000 -57.28758003
445 0.022 0.000 -57.28767881
446 0.022 0.000 -57.28777565
447 0.022 0.000 -57.28787057
448 0.022 0.000 -57.28796360
449 0.022 0.000 -57.28805475
450 0.022 0.000 -57.28814406
451 0.023 0.000 -57.28823154
452 0.023 0.000 -57.28831722
453 0.023 0.000 -57.28840112
454 0.023 0.000 -57.28848327
455 0.023 0.000 -57.28856369
456 0.023 0.000 -57.28864239
457 0.023 0.000 -57.28871941
458 0.023 0.000 -57.28879476
459 0.023 0.000 -57.28886846
460 0.023 0.000 -57.28894055
461 0.023 0.000 -57.28901103
462 0.023 0.000 -57.28907993
463 0.023 0.000 -57.28914728
464 0.023 0.000 -57.28921309
465 0.023 0.000 -57.28927739
466 0.023 0.000 -57.28934020
467 0.023 0.000 -57.28940153
468 0.023 0.000 -57.28946140
469 0.023 0.000 -57.28951985
470 0.024 0.000 -57.28957689
471 0.024 0.000 -57.28963253
472 0.024 0.000 -57.28968681
473 0.024 0.000 -57.28973973
474 0.024 0.000 -57.28979132
475 0.024 0.000 -57.28984161
476 0.024 0.000 -57.28989060
477 0.024 0.000 -57.28993831
478 0.024 0.000 -57.28998478
479 0.024 0.000 -57.29003001
480 0.024 0.000 -57.29007403
481 0.024 0.000 -57.29011685
482 0.024 0.000 -57.29015850
483 0.024 0.000 -57.29019899
484 0.024 0.000 -57.29023834
485 0.024 0.000 -57.29027656
486 0.024 0.000 -57.29031369
487 0.024 0.000 -57.29034973
488 0.024 0.000 -57.29038470
489 0.024 0.000 -57.29041863
490 0.025 0.000 -57.29045152
491 0.025 0.000 -57.29048340
492 0.025 0.000 -57.29051429
493 0.025 0.000 -57.29054420
494 0.025 0.000 -57.29057314
495 0.025 0.000 -57.29060114
496 0.025 0.000 -57.29062822
497 0.025 0.000 -57.29065438
498 0.025 0.000 -57.29067966
499 0.025 0.000 -57.29070405
500 0.025 0.000 -57.29072759
501 0.025 0.000 -57.29075028
502 0.025 0.000 -57.29077214
503 0.025 0.000 -57.29079319
504 0.025 0.000 -57.29081345
505 0.025 0.000 -57.29083293
506 0.025 0.000 -57.29085164
507 0.025 0.000 -57.29086961
508 0.025 0.000 -57.29088684
509 0.025 0.000 -57.29090336
510 0.025 0.000 -57.29091917
511 0.026 0.000 -57.29093430
512 0.026 0.000 -57.29094876
513 0.026 0.000 -57.29096257
514 0.026 0.000 -57.29097573
515 0.026 0.000 -57.29098826
516 0.026 0.000 -57.29100019
517 0.026 0.000 -57.29101151
518 0.026 0.000 -57.29102225
519 0.026 0.000 -57.29103243
520 0.026 0.000 -57.29104205
521 0.026 0.000 -57.29105113
522 0.026 0.000 -57.29105969
523 0.026 0.000 -57.29106773
524 0.026 0.000 -57.29107528
525 0.026 0.000 -57.29108234
526 0.026 0.000 -57.29108893
527 0.026 0.000 -57.29109506
528 0.026 0.000 -57.29110075
529 0.026 0.000 -57.29110600
530 0.026 0.000 -57.29111084
531 0.027 0.000 -57.29111528
532 0.027 0.000 -57.29111932
533 0.027 0.000 -57.29112299
534 0.027 0.000 -57.29112629
535 0.027 0.000 -57.29112923
536 0.027 0.000 -57.29113184
537 0.027 0.000 -57.29113412
538 0.027 0.000 -57.29113608
539 0.027 0.000 -57.29113774
540 0.027 0.000 -57.29113911
541 0.027 0.000 -57.29114019
542 0.027 0.000 -57.29114102
543 0.027 0.000 -57.29114158
544 0.027 0.000 -57.29114190
545 0.027 0.000 -57.29114200
546 0.027 0.000 -57.29114187
547 0.027 0.000 -57.29114153
548 0.027 0.000 -57.29114099
549 0.027 0.000 -57.29114027
550 0.028 0.000 -57.29113938
551 0.028 0.000 -57.29113832
552 0.028 0.000 -57.29113711
553 0.028 0.000 -57.29113576
554 0.028 0.000 -57.29113428
555 0.028 0.000 -57.29113267
556 0.028 0.000 -57.29113096
557 0.028 0.000 -57.29112915
558 0.028 0.000 -57.29112726
559 0.028 0.000 -57.29112528
560 0.028 0.000 -57.29112324
561 0.028 0.000 -57.29112115
562 0.028 0.000 -57.29111900
563 0.028 0.000 -57.29111682
564 0.028 0.000 -57.29111462
565 0.028 0.000 -57.29111239
566 0.028 0.000 -57.29111016
567 0.028 0.000 -57.29110794
568 0.028 0.000 -57.29110572
569 0.028 0.000 -57.29110353
570 0.029 0.000 -57.29110137
571 0.029 0.000 -57.29109926
